time,agg_demand,agg_supply,historical_prices,no_total_transactions,no_trades_market,no_market_transactions,no_nat_grid_transactions
2537,27258.166666666664,7243.199999999999,0.064,22,7,18,4
2538,23657.466666666667,1315.0666666666664,0,20,0,10,10
2539,20469.683333333334,0,0,22,0,11,11
2540,24052.816666666666,0,0,26,0,13,13
2541,24141.46666666666,0,0,28,0,14,14
2542,21434.766666666666,0,0,26,0,13,13
2543,18980.75,0,0,28,0,14,14
2544,11505.783333333333,0,0,28,0,14,14
2545,10294.8,0,0,26,0,13,13
2546,12012.766666666668,0,0,28,0,14,14
2547,12575.833333333332,0,0,26,0,13,13
2548,9869.75,0,0,28,0,14,14
2549,8623.05,0,0,26,0,13,13
2550,11865.583333333336,127.03333333333333,0,28,0,14,14
2551,13484.766666666665,1081.4666666666667,0,26,0,13,13
2552,11508.016666666665,3295.55,0,22,0,11,11
2553,12397.849999999997,1969.6166666666666,0,26,0,13,13
2554,17382.466666666667,4481.366666666666,0,20,0,10,10
2555,15910.400000000001,5854.383333333332,0,22,0,11,11
2556,18047.7,6630.0166666666655,0.073,26,6,19,7
2557,16511.949999999997,1853.5999999999995,0,20,0,10,10
2558,19294.483333333334,5802.516666666666,0,19,0,10,9
2559,18999.4,2031.6499999999996,0,24,0,12,12
2560,22434.31666666667,1340.2499999999998,0,20,0,10,10
2561,23554.316666666666,911.9499999999999,0,30,0,15,15
2562,17807.916666666668,0,0,24,0,12,12
2563,21703.83333333333,0,0,26,0,13,13
2564,20739.116666666665,0.8666666666666666,0,28,0,14,14
2565,24936.766666666666,0,0,26,0,13,13
2566,19950.93333333333,0,0,28,0,14,14
2567,14799.666666666666,0,0,26,0,13,13
2568,12660.633333333333,0,0,30,0,15,15
2569,11231.666666666668,0,0,24,0,12,12
2570,11263.133333333335,0,0,28,0,14,14
2571,9621.1,0,0,26,0,13,13
2572,10121.25,0,0,30,0,15,15
2573,10781.716666666669,0,0,24,0,12,12
2574,11176.883333333333,13.116666666666667,0,28,0,14,14
2575,13658.016666666668,260.8,0,26,0,13,13
2576,14745.549999999997,3293.3166666666666,0,22,0,11,11
2577,17203.149999999998,4912.566666666667,0,23,0,12,11
2578,18738.599999999995,4750.283333333333,0,23,0,12,11
2579,19571.683333333334,8064.166666666666,0,19,0,10,9
2580,15430.833333333332,5495.699999999999,0,19,0,10,9
2581,16352.216666666665,1397.6833333333332,0,16,0,8,8
2582,17930,98.44999999999997,0,30,0,15,15
2583,26173.76666666667,95.89999999999999,0,26,0,13,13
